Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
1,Spectrogram 1,1,420.4978082,422.3387594,1831.4,6348.7,S1123KIP1_048K_S04_S7112_20240108_070004.flac,420.4978,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,3890.625,4171.875,4031.25,0.1314,421.2993,421.2548,421.3862,Song,6,S04
2,Spectrogram 1,1,431.3462703,433.1120806,1953.4,6470.8,S1123KIP1_048K_S04_S7112_20240108_070004.flac,431.3463,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,3890.625,4171.875,4031.25,0.1233,432.1471,432.1027,432.2259,Song,6,S04
15,Spectrogram 1,1,3541.042579,3542.921101,2258.7,6165.6,S1123KIP1_048K_S04_S7112_20240113_070004.flac,540.7226,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2390.625,5906.25,3703.125,1.6753,3541.9792,3541.1547,3542.83,Song,6,S04
16,Spectrogram 1,1,3555.70444,3557.460858,2502.9,5982.4,S1123KIP1_048K_S04_S7112_20240113_070004.flac,555.3844,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2671.875,5765.625,3703.125,1.552,3556.6121,3555.8098,3557.3618,Song,6,S04
17,Spectrogram 1,1,3581.881639,3583.50656,2319.7,6592.9,S1123KIP1_048K_S04_S7112_20240113_070004.flac,581.5616,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2437.5,6281.25,3703.125,1.4307,3582.7253,3581.9776,3583.4083,Song,6,S04
18,Spectrogram 1,1,3589.461473,3590.860972,2319.7,6653.9,S1123KIP1_048K_S04_S7112_20240113_070004.flac,589.1415,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2437.5,6328.125,3703.125,1.2428,3590.1963,3589.5456,3590.7884,Song,5,S04
42,Spectrogram 1,1,708.3907158,709.7244661,2075.5,6043.5,S1123KIP1_048K_S04_S7112_20240109_070004.flac,108.3267,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2250,5812.5,4265.625,1.1438,709.0639,708.4698,709.6136,Song,5,S04
49,Spectrogram 1,1,1092.764554,1094.558542,2441.8,6470.8,S1123KIP1_048K_S04_S7112_20240109_070004.flac,492.7006,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2625,6140.625,4265.625,1.55,1093.5073,1092.8626,1094.4126,Song,7,S04
57,Spectrogram 1,1,1101.189723,1103.04946,1953.4,6653.9,S1123KIP1_048K_S04_S7112_20240109_070004.flac,501.1257,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240109_070004.flac,2109.375,6187.5,4265.625,1.6207,1101.9422,1101.2935,1102.9142,Song,7,S04
65,Spectrogram 1,1,3071.336878,3073.234185,2380.8,6104.5,S1123KIP1_048K_S04_S7112_20240113_070004.flac,71.0169,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2484.375,5859.375,4125,1.7682,3072.3315,3071.4524,3073.2207,Song,6,S04
66,Spectrogram 1,1,3063.503443,3065.579209,2197.6,6226.6,S1123KIP1_048K_S04_S7112_20240113_070004.flac,63.1834,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2343.75,5859.375,4125,1.8895,3064.6948,3063.6439,3065.5334,Song,7,S04
67,Spectrogram 1,1,3096.847201,3098.904182,2258.7,6531.8,S1123KIP1_048K_S04_S7112_20240113_070004.flac,96.5272,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240113_070004.flac,2437.5,6187.5,4125,1.8672,3098.0183,3096.9857,3098.8529,Song,7,S04
88,Spectrogram 1,1,361.0801499,362.8553528,2441.8,6226.6,S1123KIP1_048K_S04_S7112_20240108_070004.flac,361.0801,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,3890.625,4171.875,4031.25,0.1111,361.8807,361.8383,361.9494,Song,6,S04
89,Spectrogram 1,1,367.3168415,369.3362522,2014.5,6104.5,S1123KIP1_048K_S04_S7112_20240108_070004.flac,367.3168,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S04_K1Y\S1123KIP1_S04_S7112\S1123KIP1_048K_S04_S7112_20240108_070004.flac,3890.625,4171.875,4031.25,0.291,368.119,368.0766,368.3676,Song,7,S04
