Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,File Offset (s),Begin Path,Freq 5% (Hz),Freq 95% (Hz),Peak Freq (Hz),Dur 90% (s),Center Time (s),Time 5% (s),Time 95% (s),Type,Syllables p Song,Site
1,Spectrogram 1,1,3853.797741,3856.070752,2360.6,6252.3,S1123KIP1_048K_S02_S7106_20240114_070004.flac,253.4137,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2578.125,5437.5,4171.875,1.9501,3855.0164,3854.0181,3855.9682,Song,8,S02
2,Spectrogram 1,1,3892.391967,3894.655585,2743.4,6316.1,S1123KIP1_048K_S02_S7106_20240114_070004.flac,292.008,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,3000,5671.875,4171.875,1.9279,3893.6366,3892.6039,3894.5318,Song,8,S02
20,Spectrogram 1,1,3141.640569,3142.946141,2743.4,6379.9,S1123KIP1_048K_S02_S7106_20240113_070004.flac,141.3206,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2812.5,5812.5,3187.5,1.1539,3142.7111,3141.7532,3142.9071,Song,3,S02
24,Spectrogram 1,1,3370.425795,3372.097679,2296.8,6635.1,S1123KIP1_048K_S02_S7106_20240113_070004.flac,370.1058,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2437.5,5953.125,3187.5,1.3701,3371.5381,3370.5459,3371.916,Song,5,S02
25,Spectrogram 1,1,3374.774572,3376.258604,2041.6,6252.3,S1123KIP1_048K_S02_S7106_20240113_070004.flac,374.4546,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2343.75,5531.25,3187.5,1.261,3375.8627,3374.8887,3376.1497,Song,5,S02
26,Spectrogram 1,1,3381.959917,3383.584838,2552,6124.7,S1123KIP1_048K_S02_S7106_20240113_070004.flac,381.6399,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240113_070004.flac,2671.875,5531.25,3187.5,1.3236,3383.0872,3382.0808,3383.4044,Song,5,S02
42,Spectrogram 1,1,122.5078263,124.1139623,2360.6,6571.3,S1123KIP1_048K_S02_S7106_20240108_070004.flac,122.5078,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2437.5,5250,3421.875,1.1296,123.7093,122.9495,124.0792,Song,4,S02
43,Spectrogram 1,1,131.2805221,133.1214732,2424.4,6635.1,S1123KIP1_048K_S02_S7106_20240108_070004.flac,131.2805,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2531.25,5296.875,3421.875,1.1943,132.6637,131.8432,133.0375,Song,6,S02
44,Spectrogram 1,1,139.283024,141.0394417,2552,6443.7,S1123KIP1_048K_S02_S7106_20240108_070004.flac,139.283,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240108_070004.flac,2906.25,5296.875,3421.875,1.1539,140.6702,139.8255,140.9794,Song,5,S02
61,Spectrogram 1,1,1350.50719,1353.512825,2233,6507.5,S1123KIP1_048K_S02_S7106_20240110_070004.flac,150.3792,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240110_070004.flac,2437.5,4875,2906.25,2.811,1351.9415,1350.5896,1353.4006,Song,10,S02
72,Spectrogram 1,1,3829.59848,3831.693032,2296.8,6890.3,S1123KIP1_048K_S02_S7106_20240114_070004.flac,229.2145,C:\Users\HNG9\Box\NTRES6150\Problem Sets\PS4\Kipuka\S02_K2\S1123KIP1_S02_S7106\S1123KIP1_048K_S02_S7106_20240114_070004.flac,2578.125,5953.125,4171.875,1.6349,3830.8028,3829.8065,3831.4414,Song,6,S02
